bwa_pop,rot_tree,num_tree,,,,,,,,,,,,,,
None,56,9,,,,,,Year,tree_id,BWA_pop,tree_gsi,,,,2014 Light,2014 None
Light,20,15,,,,,,2014,2,none,0.7332,,,,0.128252778,0.2621375
Moderate,0,1,,,,,,2014,3,none,0.0596,,,,,
Heavy,0,0,,,,,,2014,4,light,-0.04915,,,,,
,,,,,,,,2014,5,light,-0.18245,,,,,
,,,,,,,,2014,6,light,-1.0423,,,,,
,,,,,,,,2014,7,light,0.1443,,,,,
,,,,,,,,2014,8,light,0.27195,,,,,
,,,,,,,,2014,11,none,0.4323,,,,,
,,,,,,,,2014,12,light,0.8857,,,,,
,,,,,,,,2014,13,light,0.38145,,,,,
,,,,,,,,2014,14,light,0.3757,,,,,
,,,,,,,,2014,15,light,0.26215,,,,,
,,,,,,,,2014,16,light,0.0046,,,,,
,,,,,,,,2014,17,light,0.2013,,,,,
,,,,,,,,2014,18,light,-0.30295,,,,,
,,,,,,,,2014,19,none,0.6093,,,,,
,,,,,,,,2014,21,none,0.2228,,,,,
,,,,,,,,2014,22,light,-0.18305,,,,,
,,,,,,,,2014,23,light,0.0948,,,,,
,,,,,,,,2014,26,light,0.1821,,,,,
,,,,,,,,2014,27,none,0.60115,,,,,
,,,,,,,,2014,28,none,1.2262,,,,,
,,,,,,,,2014,29,none,0.3171,,,,,
,,,,,,,,2014,30,none,1.0455,,,,,
,,,,,,,,2015,2,light,0.4532,,,,,
,,,,,,,,2015,3,light,0.20925,,,,,
,,,,,,,,2015,4,light,0.07585,,,,,
,,,,,,,,2015,5,light,0.1019,,,,,
,,,,,,,,2015,6,light,-0.54865,,,,,
,,,,,,,,2015,7,light,0.0568,,,,,
,,,,,,,,2015,8,light,0.6174,,,,,
,,,,,,,,2015,11,light,0.40855,,,,,
,,,,,,,,2015,12,light,0.8086,,,,,
,,,,,,,,2015,13,light,0.26295,,,,,
,,,,,,,,2015,14,light,0.7203,,,,,
,,,,,,,,2015,15,light,-0.0691,,,,,
,,,,,,,,2015,16,light,0.2446,,,,,
,,,,,,,,2015,17,light,0.2438,,,,,
,,,,,,,,2015,18,light,0.0631,,,,,
,,,,,,,,2015,19,light,0.91535,,,,,
,,,,,,,,2015,21,none,0.9149,,,,,
,,,,,,,,2015,22,light,0.2394,,,,,
,,,,,,,,2015,23,light,0.18985,,,,,
,,,,,,,,2015,26,light,0.3612,,,,,
,,,,,,,,2015,27,light,0.60885,,,,,
,,,,,,,,2015,28,none,1.99775,,,,,
,,,,,,,,2015,29,light,0.7148,,,,,
,,,,,,,,2015,30,light,0.9501,,,,,
,,,,,,,,2016,2,none,0.4004,,,,,
,,,,,,,,2016,3,light,0.44365,,,,,
,,,,,,,,2016,4,light,0.35675,,,,,
,,,,,,,,2016,5,light,NA,,,,,
,,,,,,,,2016,6,light,-0.4455,,,,,
,,,,,,,,2016,7,light ,0.0684,,,,,
,,,,,,,,2016,8,none,0.75575,,,,,
,,,,,,,,2016,11,none,0.7287,,,,,
,,,,,,,,2016,12,light,1.04595,,,,,
,,,,,,,,2016,13,light,-0.03395,,,,,
,,,,,,,,2016,14,light,0.7863,,,,,
,,,,,,,,2016,15,light,-0.0128,,,,,
,,,,,,,,2016,16,none,0.62415,,,,,
,,,,,,,,2016,17,light,0.8949,,,,,
,,,,,,,,2016,18,mod,-0.02835,,,,,
,,,,,,,,2016,19,none,1.14325,,,,,
,,,,,,,,2016,21,none,1.6377,,,,,
,,,,,,,,2016,22,light,0.7211,,,,,
,,,,,,,,2016,23,none,-0.2631,,,,,
,,,,,,,,2016,26,none,0.49425,,,,,
,,,,,,,,2016,27,none,0.8245,,,,,
,,,,,,,,2016,28,none,2.1227,,,,,
,,,,,,,,2016,29,none,0.9146,,,,,
,,,,,,,,2016,30,none,1.16855,,,,,
