Year,Rotholz
1950,0
1951,0
1952,1
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,2
1961,1
1962,1
1963,1
1964,1
1965,2
1966,1
1967,0
1968,0
1969,0
1970,2
1971,3
1972,4
1973,3
1974,3
1975,6
1976,4
1977,6
1978,13
1979,14
1980,24
1981,9
1982,8
1983,7
1984,8
1985,14
1986,15
1987,10
1988,15
1989,20
1990,43
1991,52
1992,69
1993,56
1994,53
1995,62
1996,74
1997,71
1998,100
1999,118
2000,195
2001,153
2002,106
2003,91
2004,94
2005,98
2006,114
2007,149
2008,127
2009,142
2010,183
2011,169
2012,160
2013,139
2014,93
2015,96
2016,88
